"racer_number","racer_name","racer_name_kana","branch","grade","period_year","period_half"
"3641","一瀬明","ｱｷﾗ","京","B1","2025","前期"
"3642","大塚浩二","ｺｳｼﾞ","岡","B1","2025","前期"
"3643","米田隆弘","ﾀｶﾋﾛ","山","B1","2025","前期"
"3644","矢橋成介","ｾｲｽｹ","重","B1","2025","前期"
"3645","淺田千亜希","ﾁｱｷ","島","B1","2025","前期"
"3647","伊藤雄二","ﾕｳｼﾞ","玉","B1","2025","前期"
"3652","森下勇","ｲｻﾑ","馬","B1","2025","前期"
"3653","品川賢次","ﾜ ｹﾝｼﾞ","馬","B1","2025","前期"
"3654","武田光史","ﾐﾂﾌﾐ","井","B1","2025","前期"
"3655","本橋克洋","ｶﾂﾋﾛ","馬","B1","2025","前期"
"3656","伯母芳恒","ﾖｼﾂﾈ","京","B1","2025","前期"
"3659","藤生雄人","ｳ ﾀｹﾋﾄ","馬","B1","2025","前期"
"3660","長谷川親王","ﾜ ﾁｶｵ","川","B1","2025","前期"
"3661","柳瀬興志","ｺｳｼﾞ","口","B1","2025","前期"
"3662","大庭元明","ﾓﾄｱｷ","岡","B1","2025","前期"
"3663","木山和幸","ｶｽﾞﾕｷ","島","B1","2025","前期"
"3664","鈴木賢一","ｹﾝｲﾁ","玉","B1","2025","前期"
"3679","飯島昌弘","ﾏ ｱｷﾋﾛ","玉","B1","2025","前期"
"3680","森林太","ﾔｼ ﾌﾄｼ","崎","B1","2025","前期"
"3681","山谷央","ｼﾝ","京","B1","2025","前期"
"3684","清水攻二","ｺｳｼﾞ","口","B1","2025","前期"
"3685","荒井輝年","ﾃﾙﾄｼ","山","B1","2025","前期"
"3686","鳥居塚孝博","ﾞｶ ﾀｶﾋﾛ","馬","B1","2025","前期"
"3687","花田和明","ｶｽﾞｱｷ","知","B1","2025","前期"
"3690","河合三弘","ﾐﾂﾋﾛ","知","B1","2025","前期"
"3692","竹腰正樹","ｼ ﾏｻｷ","井","B1","2025","前期"
"3696","白井友晴","ﾄﾓﾊﾙ","玉","B1","2025","前期"
"3697","勝野竜司","ﾀﾂｼﾞ","庫","B1","2025","前期"
"3699","富永正人","ﾞ ﾏｻﾄ","玉","B1","2025","前期"
"3701","大西隆洋","ﾀｶﾋﾛ","川","B1","2025","前期"
"3702","貞兼淳二","ﾈ ｼﾞｭﾝｼﾞ","岡","B1","2025","前期"
"3703","鳥飼眞","ﾏｺﾄ","岡","B1","2025","前期"
"3704","本部めぐみ","ﾒｸﾞﾐ","重","B1","2025","前期"
"3708","岡部貴司","ﾀｶｼ","山","B1","2025","前期"
"3710","吉永泰弘","ﾞ ﾔｽﾋﾛ","川","B1","2025","前期"
"3711","江本真治","ｼﾝｼﾞ","口","B1","2025","前期"
"3712","淺香文武","ﾌﾐﾀｹ","重","B1","2025","前期"
"3713","伊藤誠二","ｾｲｼﾞ","知","B1","2025","前期"
"3714","梶原正","ﾗ ﾀﾀﾞｼ","岡","B1","2025","前期"
"3715","倉尾大介","ﾀﾞｲｽｹ","岡","B1","2025","前期"
"3716","石渡鉄兵","ﾃｯﾍﾟｲ","京","B1","2025","前期"
"3717","立間充宏","ﾐﾂﾋﾛ","山","B1","2025","前期"
"3718","伊達正利","ﾏｻﾄｼ","岡","B1","2025","前期"
"3719","辻栄蔵","ｴｲｿﾞｳ","島","B1","2025","前期"
"3721","守田俊介","ｼｭﾝｽｹ","賀","B1","2025","前期"
"3722","西村秀樹","ﾋﾃﾞｷ","岡","B1","2025","前期"
"3726","桂林寛","ﾞﾔｼ ﾋﾛｼ","岡","B1","2025","前期"
"3730","塩崎優司","ﾕｳｼﾞ","知","B1","2025","前期"
"3731","高濱芳久","ﾖｼﾋｻ","島","B1","2025","前期"
"3736","岡本猛","ﾀｹｼ","阪","B1","2025","前期"
"3737","上平真二","ｼﾝｼﾞ","島","B1","2025","前期"
"3740","大澤普司","ｼﾝｼﾞ","馬","B1","2025","前期"
"3741","松尾基成","ﾓﾄﾅﾘ","岡","B1","2025","前期"
"3742","宮地秀祈","ﾋﾃﾞｷ","岡","B1","2025","前期"
"3743","林美憲","ﾖｼﾉﾘ","島","B1","2025","前期"
"3744","徳増秀樹","ﾋﾃﾞｷ","岡","B1","2025","前期"
"3745","橋本年光","ﾄｼﾐﾂ","庫","B1","2025","前期"
"3746","岡瀬正人","ﾏｻﾄ","山","B1","2025","前期"
"3747","國崎良春","ﾖｼﾊﾙ","岡","B1","2025","前期"
"3748","小黒竜吾","ﾘｭｳｺﾞ","玉","B1","2025","前期"
"3752","宇土泰就","ｽﾅﾘ","岡","B1","2025","前期"
"3757","畑和宏","ｽﾞﾋﾛ","島","B1","2025","前期"
"3761","山本光雄","ﾐﾂｵ","賀","B1","2025","前期"
"3769","佐竹恒彦","ﾂﾈﾋｺ","賀","B1","2025","前期"
"3771","折下寛法","ﾋﾛﾉﾘ","京","B1","2025","前期"
"3772","一柳和孝","ｷﾞ ｶｽﾞﾀｶ","玉","B1","2025","前期"
"3773","津留浩一郎","ｳｲﾁﾛｳ","崎","B1","2025","前期"
"3775","泉啓文","ﾋﾛﾌﾐ","山","B1","2025","前期"
"3776","横井健太","ｹﾝﾀ","知","B1","2025","前期"
"3777","樋口亮","ﾘｮｳ","崎","B1","2025","前期"
"3778","安達美帆","ﾐﾎ","玉","B1","2025","前期"
"3779","原田幸哉","ﾕｷﾔ","崎","B1","2025","前期"
"3783","瓜生正義","ﾏｻﾖｼ","岡","B1","2025","前期"
"3784","中島友和","ﾄﾓｶｽﾞ","賀","B1","2025","前期"
"3787","天野誠","ﾏｺﾄ","山","B1","2025","前期"
"3788","一宮稔弘","ﾄｼﾋﾛ","島","B1","2025","前期"
"3790","佐口達也","ﾀﾂﾔ","馬","B1","2025","前期"
"3792","田中豪","ﾂﾖｼ","京","B1","2025","前期"
"3793","高橋真吾","ｼﾝｺﾞ","玉","B1","2025","前期"
"3796","長野道臣","ﾐﾁｵ","岡","B1","2025","前期"
"3797","岩井繁","ｼｹﾞﾙ","島","B1","2025","前期"
"3800","牧宏次","ｳｼﾞ","京","B1","2025","前期"
"3801","五反田忍","ﾀﾞ ｼﾉﾌﾞ","阪","B1","2025","前期"
"3802","森岡まき","ﾏｷ","山","B1","2025","前期"
"3804","中渡修作","ﾘ ｼｭｳｻｸ","岡","B1","2025","前期"
"3805","高橋英之","ﾋﾃﾞﾕｷ","京","B1","2025","前期"
"3807","岡部哲","ｻﾄｼ","玉","B1","2025","前期"
"3808","秋田健太郎","ｹﾝﾀﾛｳ","玉","B1","2025","前期"
"3809","吉田光","ﾐﾂﾙ","賀","B1","2025","前期"
"3811","石田章央","ｱｷﾋﾛ","岡","B1","2025","前期"
"3812","山崎聖司","ｷ ｾｲｼﾞ","京","B1","2025","前期"
"3813","佐藤大介","ﾀﾞｲｽｹ","知","B1","2025","前期"
"3814","金子貴志","ﾀｶｼ","井","B1","2025","前期"
"3820","樫葉次郎","ｼﾞﾛｳ","島","B1","2025","前期"
"3822","平尾崇典","ﾀｶﾉﾘ","山","B1","2025","前期"
"3825","宮嵜隆太郎","ｷ ﾘｭｳﾀﾛｳ","岡","B1","2025","前期"
"3826","村田修次","ｼｭｳｼﾞ","京","B1","2025","前期"
"3827","今泉徹","ﾞﾐ ﾄｵﾙ","馬","B1","2025","前期"
"3828","明石正之","ﾏｻﾕｷ","庫","B1","2025","前期"
"3831","安藤裕貴","ｳ ﾋﾛﾀｶ","知","B1","2025","前期"
"3832","下田哲也","ﾃﾂﾔ","川","B1","2025","前期"
"3833","中辻博訓","ﾞ ﾋﾛﾉﾘ","井","B1","2025","前期"
"3834","細川明人","ｱｷﾄ","山","B1","2025","前期"
"3837","秋山広一","ﾋﾛｶｽﾞ","川","B1","2025","前期"
"3838","伊藤啓三","ｹｲｿﾞｳ","玉","B1","2025","前期"
"3839","川合理司","ﾏｻｼﾞ","岡","B1","2025","前期"
"3841","佐木和伸","ｶｽﾞﾉﾌﾞ","島","B1","2025","前期"
"3842","星野太郎","ﾀﾛｳ","重","B1","2025","前期"
"3843","上之晃弘","ｱｷﾋﾛ","崎","B1","2025","前期"
"3845","中谷朋子","ﾄﾓｺ","庫","B1","2025","前期"
"3848","川上聡介","ｿｳｽｹ","知","B1","2025","前期"
"3849","中岡正彦","ﾏｻﾋｺ","川","B1","2025","前期"
"3850","小川知行","ﾄﾓﾕｷ","馬","B1","2025","前期"
"3851","森田昭彦","ｱｷﾋｺ","岡","B1","2025","前期"
"3852","澤大介","ﾞｲｽｹ","重","B1","2025","前期"
"3853","岩崎正哉","ﾏｻﾔ","岡","B1","2025","前期"
"3854","吉川元浩","ﾓﾄﾋﾛ","庫","B1","2025","前期"
"3855","大熊辰弥","ﾀﾂﾔ","川","B1","2025","前期"
"3857","阿波勝哉","ﾂﾔ","京","B1","2025","前期"
"3859","多羅尾達之","ﾀﾂﾕｷ","京","B1","2025","前期"
"3860","松本浩貴","ﾋﾛｷ","玉","B1","2025","前期"
"3863","海老澤泰行","ﾜ ﾔｽﾕｷ","京","B1","2025","前期"
"3866","木山誠一","ｾｲｲﾁ","山","B1","2025","前期"
"3867","松浦勝","ﾏｻﾙ","知","B1","2025","前期"
"3868","尾形栄治","ｴｲｼﾞ","京","B1","2025","前期"
"3869","井芹大志","ﾀﾞｲｼﾞ","岡","B1","2025","前期"
"3870","寺嶋雄","ﾕｳ","井","B1","2025","前期"
"3871","池田紫乃","ｼﾉ","崎","B1","2025","前期"
"3872","岡田憲行","ﾉﾘﾕｷ","阪","B1","2025","前期"
"3873","別府昌樹","ﾟ ﾏｻｷ","島","B1","2025","前期"
"3874","山本寛久","ﾋﾛﾋｻ","山","B1","2025","前期"
"3875","廣中良一","ﾘｮｳｲﾁ","口","B1","2025","前期"
"3876","中辻崇人","ﾞ ﾀｶﾋﾄ","岡","B1","2025","前期"
"3878","胡本悟志","ﾓﾄ ｻﾄｼ","口","B1","2025","前期"
"3880","浅見宗孝","ﾑﾈﾉﾘ","玉","B1","2025","前期"
"3882","新田智彰","ﾄﾓｱｷ","阪","B1","2025","前期"
"3885","久田武","ﾀｹｼ","知","B1","2025","前期"
"3888","山本英志","ｴｲｼ","京","B1","2025","前期"
"3889","須藤隆雄","ﾀｶｵ","馬","B1","2025","前期"
"3891","谷口健一","ﾁ ｹﾝｲﾁ","井","B1","2025","前期"
"3892","草場康幸","ﾔｽﾕｷ","賀","B1","2025","前期"
